cog_category	category_name
A	RNA processing and mod.
B	Chromatin structure
C	Energy production
D	Cell cycle
E	Amino acid transp. and metab.
F	Nucleotide transp. and metab.
G	Carbohydrate transp. and metab.
H	Coenzyme transp. and metab.
I	Lipid transp. and metab.
J	Translation
K	Transcription
L	Replication, recomb. and repair
M	Cell wall/membrane biogenesis
N	Cell motility
O	Post-transl. mod./prot. turnover
P	Inorg. ion transp.
Q	Sec. structure
T	Signal transduction
U	Intracellular trafficking
Y	Nuclear structure
Z	Cytoskeleton
R	General func. pred.
S	Function unknown
-	Unassigned
