contrast;eggnog;logFC;logCPM;F;PValue;FDR;taxon;cog_category;description;preferred_name
KA-KB;COG1345;22.400.326.984.516.100;7.646.553.068.764.120;2.334.344.278.509.510;7,11E+10;0.04425901621822421;1|root;N;Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end;fliD
KA-KB;COG3743;2.030.354.393.738.780;828.545.325.086.521;22.426.070.707.211.600;9,02E+10;0.04993521112168193;1|root;C;Polysulphide reductase, NrfD;nrfD
KA-KB;COG5147;6.089.516.794.474.840;37.526.086.621.760.100;20.750.130.171.557.200;1,56E+12;0.07763146143631883;1|root;K;Transcriptional activator Myb;MYB
KA-KB;COG2142;19.796.150.642.699.300;905.612.306.602.975;1.872.306.427.908.980;2,50E+11;0.11017968747664755;1|root;C;Succinate dehydrogenase/Fumarate reductase transmembrane subunit;sdhD
KA-KB;COG2252;15.847.488.735.773.200;7.317.915.924.831.060;14.790.694.994.080.900;8,26E+11;0.14686311053998355;1|root;S;COG2252 Permeases;purP
KA-KB;COG4147;1.663.498.809.189.810;1.122.549.373.038.700;14.079.895.973.685.000;0.00104019270308306;0.16395321439716076;1|root;S;Sodium:solute symporter family;actP
KA-KB;COG0455;2.655.004.221.085.850;4.602.587.427.442.500;14.041.163.792.016.700;0.00105351463066448;0.16395321439716076;1|root;D;Belongs to the ParA family;fleN
KA-KB;COG0690;1.712.248.476.578.450;11.008.533.081.040.400;1.358.533.155.820.990;0.00122513161729384;0.17322913499208756;1|root;U;SecE/Sec61-gamma subunits of protein translocation complex;secE
KA-KB;COG1277;18.504.733.103.422.300;6.413.308.174.838.550;13.099.339.113.322.800;0.00144244005744582;0.18183179222719284;1|root;S;ABC-2 family transporter protein;gldF
KA-KB;COG1843;2.477.383.699.021.460;476.812.465.068.926;12.699.703.243.241.500;0.00165287318938129;0.19598353531235368;1|root;N;Required for flagellar hook formation. May act as a scaffolding protein;flgD
KA-KB;COG1055;15.061.618.467.161.800;9.096.273.232.193.530;12.171.974.079.164.000;0.00198391600810583;0.22632557323426977;1|root;P;Na H antiporter NhaD and related arsenite;nhaD
KA-KB;COG2209;15.609.691.877.461.100;10.698.386.028.103.400;11.414.973.134.358.200;0.00259246490919224;0.24359387259957355;1|root;C;NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. NqrA to NqrE are probably involved in the second step, the conversion of ubisemiquinone to ubiquinol;nqrE
KA-KB;2AJ1A;19.675.795.665.653.900;5.249.353.736.657.260;10.731.824.099.075.700;0.00332041703566415;0.25836995058761675;1|root;C;Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions;petM
KA-KB;COG0798;24.255.825.041.248.600;53.991.258.678.006.100;10.651.855.425.648.600;0.00341935345665316;0.25842375287825203;1|root;P;Sodium Bile acid symporter family;acr3
KA-KB;COG0146;4.163.084.751.539.300;27.526.071.464.678.800;1.054.446.861.290.350;0.00355733480202245;0.26052246050105615;1|root;EQ;N-methylhydantoinase B acetone carboxylase alpha subunit;hyuB
KA-KB;COG2802;15.650.093.576.650.000;6.202.517.297.694.370;1.048.186.683.672.550;0.00364058321808176;0.26275513660937955;1|root;S;Lon protease;lonD
KA-KB;COG1805;16.442.625.127.256.000;11.337.897.934.133.900;10.208.803.117.414.300;0.00402957144888173;0.26936280602651574;1|root;C;NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. NqrA to NqrE are probably involved in the second step, the conversion of ubisemiquinone to ubiquinol;nqrB
KA-KB;COG1251;23.812.847.698.403.300;4.081.120.944.472.000;909.312.384.399.332;0.00616761166794545;0.31664645470482844;1|root;C;Belongs to the nitrite and sulfite reductase 4Fe-4S domain family;nirB
KA-KB;KOG2301;2.033.009.580.203.950;5.290.423.811.945.630;8.562.724.314.084.760;0.0076003489942504;0.3382380403665295;1|root;P;high voltage-gated calcium channel activity;CAC
KA-KB;COG3046;166.463.382.092.075;513.120.491.666.113;8.521.040.032.266.770;0.00772760546424117;0.3382380403665295;1|root;S;protein related to deoxyribodipyrimidine photolyase;phrB
KA-KB;2C5W0;2.327.675.586.843.730;4.036.298.087.330.780;8.262.092.901.598.660;0.00857272021409763;0.3487925449353892;1|root;J;Probably a ribosomal protein or a ribosome-associated protein;ycf65
KA-KB;COG1966;307.096.329.963.883;34.209.540.216.807.300;798.286.363.361.878;0.00959989858518003;0.3567723504044519;1|root;T;Carbon starvation protein;cstA
