task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f7/539085	43896015	NFCORE_METATDENOVO:METATDENOVO:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	CACHED	0	2024-01-02 14:52:53.616	7.3s	1s	86.5%	11.4 MB	37.1 MB	2 MB	792 B
3	0e/bff78e	43896019	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (SRR443366)	CACHED	0	2024-01-02 14:53:01.600	6m 9s	3m 35s	102.1%	1 GB	4.4 GB	2.7 GB	2 MB
6	34/f2ec94	43896018	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (SRR443367)	CACHED	0	2024-01-02 14:53:01.564	7m 54s	5m 19s	102.1%	1 GB	4.3 GB	3.3 GB	2 MB
2	cf/56f721	43896016	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (SRR443366)	CACHED	0	2024-01-02 14:53:01.308	12m 50s	6m	467.6%	4.5 GB	5.7 GB	39.6 GB	36.8 GB
4	4f/4545b4	43896017	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (SRR443367)	CACHED	0	2024-01-02 14:53:01.418	13m 39s	6m 49s	469.3%	4.4 GB	5.6 GB	46.1 GB	42.7 GB
7	ac/7383e3	43896022	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (SRR443368)	CACHED	0	2024-01-02 14:53:01.814	6m 24s	3m 48s	102.2%	1 GB	4.3 GB	2.9 GB	2 MB
8	b5/75053b	43896020	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (SRR443369)	CACHED	0	2024-01-02 14:53:01.684	6m 14s	3m 41s	102.5%	1 GB	4.3 GB	2.6 GB	2 MB
9	93/4c5dd3	43896024	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (SRR443370)	CACHED	0	2024-01-02 14:53:01.979	6m 34s	3m 59s	102.6%	1 GB	4.4 GB	2.7 GB	2 MB
5	7d/4f3471	43918210	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (SRR443368)	CACHED	0	2024-01-03 12:00:08.569	12m 24s	6m 18s	463.4%	4.5 GB	5.7 GB	43.5 GB	40.4 GB
12	40/fedeb8	43896021	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (SRR443369)	CACHED	0	2024-01-02 14:53:01.774	15m 24s	5m 11s	467.0%	4.5 GB	5.7 GB	40 GB	37.3 GB
11	d4/c2b089	43918212	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (SRR443367)	CACHED	0	2024-01-03 12:00:09.867	3m 37s	2m 9s	455.2%	16.6 GB	41.5 GB	7.5 GB	4.8 GB
10	fa/4b17a8	43918211	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (SRR443366)	CACHED	0	2024-01-03 12:00:09.365	3s	2m	487.8%	13.5 GB	41.5 GB	6.9 GB	4.5 GB
13	07/5aaac8	43918213	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (SRR443370)	CACHED	0	2024-01-03 12:00:10.365	11m 52s	5m 52s	459.2%	4.4 GB	5.6 GB	41.5 GB	38.7 GB
14	5c/9805b6	43918445	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (SRR443368)	CACHED	0	2024-01-03 12:12:32.265	4m 45s	1m 58s	450.1%	15.5 GB	41.5 GB	6.3 GB	3.5 GB
15	2a/11a5b5	43918214	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (SRR443369)	CACHED	0	2024-01-03 12:00:10.968	1.9s	1m 37s	386.8%	13.8 GB	41.6 GB	4.3 GB	1.3 GB
16	98/6800ef	43918444	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (SRR443370)	CACHED	0	2024-01-03 12:12:02.465	5m	1m 43s	421.3%	13.7 GB	41.5 GB	4.9 GB	1.9 GB
17	e4/e2d9a5	43918565	NFCORE_METATDENOVO:METATDENOVO:MEGAHIT_INTERLEAVED (megahit_assembly)	CACHED	0	2024-01-03 12:17:17.361	1h 42m 45s	24m 27s	1677.4%	3.7 GB	3.7 GB	37.3 GB	15.8 GB
18	f4/943426	43940439	NFCORE_METATDENOVO:METATDENOVO:UNPIGZ_CONTIGS (megahit_assembly.contigs.fa.gz)	COMPLETED	0	2024-01-04 19:36:12.967	3m 20s	1s	81.8%	1 MB	14.6 MB	4.8 MB	16.3 MB
22	a4/b8517a	43940444	NFCORE_METATDENOVO:METATDENOVO:TRANSRATE (megahit)	COMPLETED	0	2024-01-04 19:39:33.894	4m 30s	2s	97.0%	87.1 MB	295.4 MB	19.7 MB	473 KB
19	13/1dbf2b	43940440	NFCORE_METATDENOVO:METATDENOVO:BBMAP_INDEX (megahit_assembly.contigs.fa.gz)	COMPLETED	0	2024-01-04 19:36:13.022	1h 59m 41s	7s	167.7%	812.1 MB	127.8 GB	8.1 MB	86.8 MB
21	8f/49d965	43940442	NFCORE_METATDENOVO:METATDENOVO:PROKKA_SUBSETS:PROKKA (megahit_assembly.contigs.2)	COMPLETED	0	2024-01-04 19:37:41.665	1h 59m 52s	1m 48s	666.7%	1.8 GB	33.9 GB	103.6 GB	221.8 MB
26	63/d35bb1	43947700	NFCORE_METATDENOVO:METATDENOVO:BBMAP_ALIGN (SRR443369)	COMPLETED	0	2024-01-04 21:35:54.390	1m 49s	1m 5s	529.1%	3.4 GB	42 GB	2.3 GB	2.2 GB
27	76/5e5480	43947702	NFCORE_METATDENOVO:METATDENOVO:BBMAP_ALIGN (SRR443370)	COMPLETED	0	2024-01-04 21:35:54.577	2m 4s	1m 24s	521.4%	3.4 GB	42.1 GB	3.3 GB	3.3 GB
