task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	9a/9678cd	2878482	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-02-25 04:27:11.316	1m 7s	1m 5s	5.8%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	d6/9ab5d6	2878434	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-02-25 04:27:11.293	1m 31s	1m 29s	5.4%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
8	8e/2355e8	2878348	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-02-25 04:27:11.265	1m 39s	1m 37s	6.3%	5.1 MB	7.9 MB	4.8 GB	4.8 GB
4	e3/b4b4f1	2878401	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-02-25 04:27:11.281	1m 55s	1m 53s	5.6%	5.1 MB	7.9 MB	5 GB	5 GB
7	49/fbe19f	2878318	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-02-25 04:27:11.254	2m 21s	2m 20s	6.9%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
6	c8/7f8f98	2878456	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-02-25 04:27:11.303	2m 24s	2m 23s	6.1%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
5	de/f4204d	2878369	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-02-25 04:27:11.272	2m 33s	2m 32s	7.3%	5.1 MB	7.9 MB	7.9 GB	7.9 GB
10	b5/1f4ef4	2878296	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-02-25 04:27:11.241	2m 38s	2m 37s	7.1%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
11	90/5c7621	2888010	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-02-25 04:28:17.887	1m 53s	1m 52s	199.3%	721 MB	4.5 GB	3.2 GB	4 MB
13	6e/0cbff5	2894565	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-02-25 04:28:42.041	2m 24s	2m 23s	192.3%	685.5 MB	4.4 GB	3.8 GB	4 MB
15	70/72d9aa	2902014	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-02-25 04:29:32.306	2m 50s	2m 50s	194.5%	725.6 MB	4.4 GB	4.8 GB	4.7 MB
17	c1/8e6bcf	2905144	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-02-25 04:29:49.267	2m 54s	2m 54s	195.5%	738.1 MB	4.5 GB	5 GB	4 MB
20	c6/f42d5c	2908203	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-02-25 04:30:10.938	3m 45s	3m 44s	195.7%	678.7 MB	4.5 GB	7.1 GB	4.1 MB
