task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	21/e73429	1533489	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-02-28 15:25:46.912	1m 2s	1m 1s	5.7%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
7	1a/95b8bc	1533581	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-02-28 15:25:46.932	1m 43s	1m 42s	4.1%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
6	75/a33436	1533538	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-02-28 15:25:46.923	2m 9s	2m 8s	4.4%	5.3 MB	7.9 MB	4.8 GB	4.8 GB
2	e4/2c1815	1533511	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-02-28 15:25:46.918	2m 10s	2m 8s	4.5%	5.2 MB	7.9 MB	5 GB	5 GB
4	ea/ea4f28	1533476	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-02-28 15:25:46.903	2m 49s	2m 48s	4.8%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
9	c7/d03026	1543244	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-02-28 15:26:49.186	1m 48s	1m 46s	195.9%	768.4 MB	4.4 GB	3.2 GB	4 MB
5	70/df5ded	1533635	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-02-28 15:25:46.944	3m 1s	3m	4.9%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
3	c7/819e38	1533608	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-02-28 15:25:46.937	3m 14s	3m 13s	5.1%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
8	4e/bd0cc4	1533655	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-02-28 15:25:46.952	3m 16s	3m 15s	5.0%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
11	dd/7c0ebb	1551842	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-02-28 15:27:29.628	2m 39s	2m 38s	168.2%	619.4 MB	4.4 GB	3.8 GB	4 MB
13	46/8b17cc	1561897	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-02-28 15:28:36.363	2m 47s	2m 47s	187.6%	667.4 MB	4.4 GB	4.8 GB	4.7 MB
15	a3/aba719	1562164	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-02-28 15:28:37.261	2m 59s	2m 58s	183.6%	739.4 MB	4.4 GB	5 GB	4 MB
17	83/41644a	1566021	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB2)	COMPLETED	0	2025-02-28 15:29:03.528	3m 32s	3m 32s	190.1%	637.4 MB	4.3 GB	6.6 GB	4.1 MB
10	83/cf9cbd	1543234	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA1)	COMPLETED	0	2025-02-28 15:26:49.180	5m 51s	5m 51s	664.2%	449.1 MB	3.8 GB	62.5 GB	59.2 GB
20	7e/e1e8df	1571730	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-02-28 15:30:08.821	3m 31s	3m 30s	197.1%	634.7 MB	4.3 GB	7.1 GB	4.1 MB
22	3f/1fa306	1577527	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB1)	COMPLETED	0	2025-02-28 15:31:23.526	4m 26s	4m 26s	197.6%	734.1 MB	4.5 GB	7.9 GB	4.1 MB
25	a4/3cef6e	1592365	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA1)	COMPLETED	0	2025-02-28 15:33:39.762	2m 12s	2m 11s	647.1%	15.6 GB	42.9 GB	4.9 GB	1.6 GB
24	23/34717b	1579092	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB2)	COMPLETED	0	2025-02-28 15:31:36.281	4m 19s	4m 18s	197.6%	716.4 MB	4.5 GB	7.7 GB	4.1 MB
26	3e/3779b6	1605950	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA1)	COMPLETED	0	2025-02-28 15:35:52.698	2m 8s	2m 7s	107.4%	6.2 MB	14.2 MB	1.6 GB	1.6 GB
12	32/bedb71	1584165	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NB1)	COMPLETED	0	2025-02-28 15:32:40.642	6m 42s	6m 42s	705.2%	449.7 MB	3.8 GB	74.1 GB	70.2 GB
27	d9/4d74d6	1615038	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NB1)	COMPLETED	0	2025-02-28 15:39:23.971	2m 13s	2m 12s	724.8%	18.5 GB	42.7 GB	7.1 GB	3.9 GB
14	87/b40797	1614840	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NA2)	COMPLETED	0	2025-02-28 15:39:22.963	5m 12s	5m 12s	733.7%	461.8 MB	3.8 GB	86 GB	81.2 GB
29	aa/4a728d	1637338	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NA2)	COMPLETED	0	2025-02-28 15:44:36.305	2m 11s	2m 10s	693.7%	16.7 GB	42.7 GB	9 GB	7 GB
28	4c/ac7051	1628318	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NB1)	COMPLETED	0	2025-02-28 15:41:38.007	5m 27s	5m 26s	105.9%	6.2 MB	14.2 MB	3.9 GB	3.9 GB
30	60/79752b	1653488	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NA2)	COMPLETED	0	2025-02-28 15:46:48.224	4m 51s	4m 50s	112.0%	6.2 MB	14.2 MB	7 GB	6.8 GB
