task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	82/ffa030	3804561	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-02-25 09:34:23.308	52s	50.9s	7.0%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	d8/d06dd4	3804634	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-02-25 09:34:23.336	1m 15s	1m 14s	6.0%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
8	60/c7c98f	3804730	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-02-25 09:34:23.367	1m 52s	1m 51s	5.3%	5.3 MB	7.9 MB	4.8 GB	4.8 GB
4	02/4b61b6	3804682	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-02-25 09:34:23.350	1m 58s	1m 57s	5.4%	5.3 MB	7.9 MB	5 GB	5 GB
6	c9/b1f042	3804659	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-02-25 09:34:23.344	2m 20s	2m 19s	6.2%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
7	6b/7ea8dc	3804574	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-02-25 09:34:23.319	2m 33s	2m 32s	6.4%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
5	8a/da8f3c	3804706	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-02-25 09:34:23.359	2m 39s	2m 38s	7.0%	5.3 MB	7.9 MB	7.9 GB	7.9 GB
10	06/2d1a18	3804600	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-02-25 09:34:23.326	2m 40s	2m 39s	6.9%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
12	95/adec43	3813465	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-02-25 09:35:15.311	1m 53s	1m 52s	198.8%	712.5 MB	4.5 GB	3.2 GB	4 MB
14	d9/bcd7e6	3819693	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-02-25 09:35:38.404	2m 23s	2m 23s	192.4%	730.8 MB	4.5 GB	3.8 GB	4 MB
16	d9/58a552	3829599	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-02-25 09:36:43.344	2m 48s	2m 48s	195.0%	749.6 MB	4.4 GB	4.8 GB	4.7 MB
18	48/c94921	3832983	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-02-25 09:37:03.560	2m 49s	2m 49s	196.9%	668.4 MB	4.5 GB	5 GB	4 MB
20	de/965b52	3833980	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB2)	COMPLETED	0	2025-02-25 09:37:08.651	3m 30s	3m 30s	196.8%	626.2 MB	4.5 GB	6.6 GB	4.1 MB
11	32/6f5a2a	3813456	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA1)	COMPLETED	0	2025-02-25 09:35:15.303	5m 55s	5m 54s	668.6%	449.6 MB	3.8 GB	62.5 GB	59.2 GB
21	e7/0e6117	3839197	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-02-25 09:38:01.841	3m 38s	3m 37s	196.0%	627.9 MB	4.4 GB	7.1 GB	4.1 MB
27	2d/705954	3859810	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA1)	COMPLETED	0	2025-02-25 09:41:40.063	2m 11s	2m 10s	663.9%	16.4 GB	42.8 GB	4.9 GB	1.6 GB
23	e0/77808e	3846344	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB1)	COMPLETED	0	2025-02-25 09:39:31.641	4m 24s	4m 24s	197.5%	718 MB	4.4 GB	7.9 GB	4.1 MB
