task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	61/ad8388	2196294	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-03-11 08:13:33.510	1m 36s	1m 33s	4.3%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	d1/d6ee7a	2196330	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-03-11 08:13:33.530	1m 40s	1m 37s	4.8%	5.1 MB	7.9 MB	3.8 GB	3.8 GB
8	50/a4dc37	2196380	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-03-11 08:13:33.541	2m 10s	2m 7s	4.8%	5.2 MB	7.9 MB	4.8 GB	4.8 GB
4	72/ffea0f	2196451	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-03-11 08:13:33.557	2m 31s	2m 27s	4.4%	5.1 MB	7.9 MB	5 GB	5 GB
6	02/51d345	2196352	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-03-11 08:13:33.535	2m 59s	2m 56s	5.0%	5.2 MB	7.9 MB	6.6 GB	6.6 GB
7	85/809c2d	2196423	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-03-11 08:13:33.552	3m 17s	3m 14s	5.1%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
10	ca/ab594e	2196406	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-03-11 08:13:33.547	3m 24s	3m 21s	5.4%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
5	bc/f43d0b	2196315	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-03-11 08:13:33.523	3m 24s	3m 21s	5.5%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
12	76/669de2	2208509	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-03-11 08:15:09.283	1m 54s	1m 52s	196.3%	701.2 MB	4.5 GB	3.2 GB	4 MB
14	7f/cf16e3	2209698	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-03-11 08:15:13.535	2m 37s	2m 37s	171.3%	695.8 MB	4.4 GB	3.8 GB	4 MB
16	14/0df593	2223479	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-03-11 08:16:32.504	2m 58s	2m 58s	186.0%	699.2 MB	4.4 GB	4.8 GB	4.7 MB
18	76/c1cf30	2227534	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-03-11 08:16:57.797	2m 57s	2m 56s	190.0%	694.3 MB	4.5 GB	5 GB	4 MB
19	0e/7de378	2228561	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB2)	COMPLETED	0	2025-03-11 08:17:02.828	3m 36s	3m 35s	191.5%	624.7 MB	4.5 GB	6.6 GB	4.1 MB
11	22/378c4e	2208500	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA1)	COMPLETED	0	2025-03-11 08:15:09.277	5m 59s	5m 58s	661.8%	446.4 MB	3.7 GB	62.5 GB	59.2 GB
22	92/a67cda	2233531	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-03-11 08:17:50.792	3m 40s	3m 39s	196.2%	711.8 MB	4.4 GB	7.1 GB	4.1 MB
27	2f/3a1c14	2253764	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA1)	COMPLETED	0	2025-03-11 08:21:31.175	2m 9s	2m 8s	663.8%	8 GB	42.7 GB	4.9 GB	1.6 GB
23	11/bc8fb9	2241402	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB2)	COMPLETED	0	2025-03-11 08:19:30.860	4m 20s	4m 19s	196.7%	632.5 MB	4.4 GB	7.7 GB	4.1 MB
25	80/054271	2243733	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB1)	COMPLETED	0	2025-03-11 08:19:55.011	4m 34s	4m 33s	195.9%	616.1 MB	4.4 GB	7.9 GB	4.1 MB
