task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	02/600474	1035295	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-03-12 01:11:49.133	55.1s	53.8s	7.3%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	eb/829d2c	1035383	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-03-12 01:11:49.161	1m 46s	1m 45s	4.7%	5.2 MB	7.9 MB	3.8 GB	3.8 GB
8	39/8cae48	1035226	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-03-12 01:11:49.109	1m 51s	1m 50s	5.7%	5.3 MB	7.9 MB	4.8 GB	4.8 GB
4	9a/a5f3d5	1035374	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-03-12 01:11:49.155	2m 22s	2m 21s	4.9%	5.2 MB	7.9 MB	5 GB	5 GB
6	ca/661f69	1035264	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-03-12 01:11:49.126	2m 43s	2m 41s	5.8%	5.3 MB	7.9 MB	6.6 GB	6.6 GB
11	ed/ec8e96	1044107	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-03-12 01:12:44.237	1m 53s	1m 51s	191.7%	726.3 MB	4.5 GB	3.2 GB	4 MB
7	18/fd38d5	1035360	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-03-12 01:11:49.150	3m 13s	3m 11s	5.4%	5.2 MB	7.9 MB	7.1 GB	7.1 GB
10	9b/26e670	1035333	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-03-12 01:11:49.144	3m 13s	3m 12s	5.9%	5.2 MB	7.9 MB	7.7 GB	7.7 GB
5	1a/385d44	1035239	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-03-12 01:11:49.119	3m 16s	3m 15s	6.0%	5.1 MB	7.9 MB	7.9 GB	7.9 GB
13	67/c1cb31	1054508	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-03-12 01:13:35.724	2m 38s	2m 36s	175.7%	670.6 MB	4.4 GB	3.8 GB	4 MB
16	76/0c425c	1063200	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-03-12 01:14:31.660	2m 50s	2m 49s	188.8%	701 MB	4.5 GB	4.8 GB	4.7 MB
17	36/8a8657	1064433	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-03-12 01:14:37.452	2m 58s	2m 58s	186.8%	711.4 MB	4.5 GB	5 GB	4 MB
19	84/706b25	1068153	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB2)	COMPLETED	0	2025-03-12 01:15:04.783	3m 33s	3m 32s	192.1%	660.4 MB	4.4 GB	6.6 GB	4.1 MB
12	b0/bebcfd	1044115	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA1)	COMPLETED	0	2025-03-12 01:12:44.243	6m 2s	6m 1s	653.3%	536.6 MB	3.8 GB	62.5 GB	59.2 GB
21	70/8c2bd5	1074171	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-03-12 01:16:13.299	3m 37s	3m 37s	197.5%	715.3 MB	4.5 GB	7.1 GB	4.1 MB
23	de/3d521f	1079625	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB2)	COMPLETED	0	2025-03-12 01:17:22.059	4m 19s	4m 18s	196.9%	798.9 MB	4.4 GB	7.7 GB	4.1 MB
27	e2/340bbf	1095625	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA1)	COMPLETED	0	2025-03-12 01:19:50.417	2m 12s	2m 11s	663.4%	8.2 GB	42.7 GB	4.9 GB	1.6 GB
25	6f/9b5986	1081339	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB1)	COMPLETED	0	2025-03-12 01:17:35.466	4m 30s	4m 30s	198.0%	804.9 MB	4.5 GB	7.9 GB	4.1 MB
28	78/39f72e	1108863	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA1)	COMPLETED	0	2025-03-12 01:22:03.362	2m 7s	2m 7s	107.4%	6.1 MB	14.2 MB	1.6 GB	1.6 GB
14	04/6e1c44	1086855	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NB1)	COMPLETED	0	2025-03-12 01:18:46.156	6m 48s	6m 48s	700.0%	451.3 MB	3.8 GB	74.1 GB	70.2 GB
29	86/3afb55	1117907	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NB1)	COMPLETED	0	2025-03-12 01:25:35.662	2m 15s	2m 14s	723.4%	8.6 GB	42.6 GB	7.1 GB	3.9 GB
