task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	9b/b96464	484990	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA1)	COMPLETED	0	2025-02-25 14:01:42.484	43.9s	42.8s	8.4%	5.2 MB	7.9 MB	3.2 GB	3.2 GB
9	52/e235c8	484869	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB1)	COMPLETED	0	2025-02-25 14:01:42.455	1m 18s	1m 17s	5.8%	5.1 MB	7.9 MB	3.8 GB	3.8 GB
4	5d/89d7e5	484950	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KA2)	COMPLETED	0	2025-02-25 14:01:42.476	1m 47s	1m 46s	5.9%	5.1 MB	7.9 MB	5 GB	5 GB
8	f2/8add7f	484892	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA2)	COMPLETED	0	2025-02-25 14:01:42.462	1m 51s	1m 50s	5.4%	5.2 MB	9.3 MB	4.8 GB	4.8 GB
6	d6/2c548a	484916	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB2)	COMPLETED	0	2025-02-25 14:01:42.469	2m 15s	2m 14s	6.6%	5.3 MB	7.9 MB	6.6 GB	6.6 GB
7	cd/63eac4	485016	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NA1)	COMPLETED	0	2025-02-25 14:01:42.492	2m 26s	2m 25s	6.8%	5.3 MB	7.9 MB	7.1 GB	7.1 GB
12	c5/4693c7	492948	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA1)	COMPLETED	0	2025-02-25 14:02:26.407	1m 50s	1m 49s	199.2%	720.6 MB	4.3 GB	3.2 GB	4 MB
10	8b/af648f	484855	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (NB2)	COMPLETED	0	2025-02-25 14:01:42.445	2m 36s	2m 35s	7.0%	5.3 MB	7.9 MB	7.7 GB	7.7 GB
5	1c/c61268	485037	NFCORE_METATDENOVO:METATDENOVO:CAT_FASTQ (KB1)	COMPLETED	0	2025-02-25 14:01:42.500	2m 39s	2m 38s	7.0%	5.2 MB	7.9 MB	7.9 GB	7.9 GB
13	07/9c7d97	501078	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB1)	COMPLETED	0	2025-02-25 14:03:01.574	2m 22s	2m 22s	195.1%	612.6 MB	4.5 GB	3.8 GB	4 MB
16	21/82fc02	509584	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KA2)	COMPLETED	0	2025-02-25 14:03:57.712	2m 53s	2m 52s	195.7%	747.1 MB	4.4 GB	5 GB	4 MB
18	71/44a3f1	512415	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA2)	COMPLETED	0	2025-02-25 14:04:16.200	2m 44s	2m 44s	193.9%	734.8 MB	4.4 GB	4.8 GB	4.7 MB
20	84/15ee3c	513520	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB2)	COMPLETED	0	2025-02-25 14:04:21.774	3m 28s	3m 27s	196.7%	669.5 MB	4.4 GB	6.6 GB	4.1 MB
11	4a/62e142	492975	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA1)	COMPLETED	0	2025-02-25 14:02:26.434	5m 54s	5m 53s	666.1%	452.4 MB	3.8 GB	62.5 GB	59.2 GB
21	c3/89a9ad	519365	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NA1)	COMPLETED	0	2025-02-25 14:05:23.848	3m 34s	3m 33s	197.1%	710.8 MB	4.5 GB	7.1 GB	4.1 MB
23	d9/c4e4c2	526159	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (NB2)	COMPLETED	0	2025-02-25 14:06:51.010	4m 15s	4m 14s	198.1%	728.8 MB	4.5 GB	7.7 GB	4.1 MB
27	e1/5f5f95	539640	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA1)	COMPLETED	0	2025-02-25 14:08:58.130	2m 10s	2m 10s	657.5%	13.9 GB	42.8 GB	4.9 GB	1.6 GB
25	9f/007b95	527313	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:FASTQC (KB1)	COMPLETED	0	2025-02-25 14:07:00.356	4m 24s	4m 24s	197.3%	733.5 MB	4.5 GB	7.9 GB	4.1 MB
28	7b/a475b8	553758	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA1)	COMPLETED	0	2025-02-25 14:11:09.353	2m 10s	2m 9s	106.9%	6.3 MB	14.2 MB	1.6 GB	1.6 GB
14	ba/3560c7	533389	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NB1)	COMPLETED	0	2025-02-25 14:08:20.065	6m 32s	6m 32s	725.3%	506.1 MB	3.8 GB	74.1 GB	70.2 GB
29	f9/e7267b	563453	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NB1)	COMPLETED	0	2025-02-25 14:14:53.263	2m 7s	2m 6s	720.4%	19.3 GB	43.1 GB	7.1 GB	3.9 GB
30	57/ed0fd3	577686	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NB1)	COMPLETED	0	2025-02-25 14:17:01.058	5m 8s	5m 7s	107.1%	6.3 MB	14.2 MB	3.9 GB	3.9 GB
15	e8/cab184	563248	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KA2)	COMPLETED	0	2025-02-25 14:14:52.256	8m 8s	8m 7s	723.6%	514.7 MB	3.8 GB	97 GB	92 GB
31	17/d6ed68	595690	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KA2)	COMPLETED	0	2025-02-25 14:23:01.386	2m 18s	2m 18s	687.5%	26.5 GB	42.7 GB	7 GB	2.4 GB
17	cc/ac358d	595489	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NA2)	COMPLETED	0	2025-02-25 14:23:00.378	5m 11s	5m 11s	734.4%	477.2 MB	3.9 GB	86 GB	81.2 GB
32	4e/a91a99	609292	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KA2)	COMPLETED	0	2025-02-25 14:25:20.652	3m 3s	3m 3s	107.6%	6.2 MB	14.2 MB	2.4 GB	2.4 GB
33	e6/9a33c9	617818	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NA2)	COMPLETED	0	2025-02-25 14:28:12.785	2m 4s	2m 3s	700.2%	17.8 GB	42.6 GB	9 GB	7 GB
34	10/71f7db	631932	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NA2)	COMPLETED	0	2025-02-25 14:30:18.121	5m	5m	110.8%	6.2 MB	14.2 MB	7 GB	6.8 GB
19	1d/10df0f	617537	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KB2)	COMPLETED	0	2025-02-25 14:28:11.778	11m 1s	11m 1s	734.9%	487.5 MB	3.8 GB	129.3 GB	122.6 GB
35	28/aa2778	655989	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KB2)	COMPLETED	0	2025-02-25 14:39:14.074	2m 25s	2m 25s	694.1%	27.5 GB	42.9 GB	9.7 GB	3.7 GB
36	b5/93957e	671772	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KB2)	COMPLETED	0	2025-02-25 14:41:40.462	4m 57s	4m 57s	106.4%	6.3 MB	14.2 MB	3.7 GB	3.7 GB
22	f2/cef3a2	655787	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NA1)	COMPLETED	0	2025-02-25 14:39:13.068	11m 47s	11m 46s	736.3%	457.6 MB	3.9 GB	138.5 GB	131.3 GB
37	b4/68555c	696824	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NA1)	COMPLETED	0	2025-02-25 14:51:00.999	2m 30s	2m 29s	686.9%	27.4 GB	42.9 GB	10.4 GB	4.2 GB
38	b5/428211	713016	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NA1)	COMPLETED	0	2025-02-25 14:53:31.534	5m 40s	5m 39s	106.1%	6.1 MB	14.2 MB	4.2 GB	4.2 GB
24	ea/f5a727	696625	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (NB2)	COMPLETED	0	2025-02-25 14:50:59.992	12m 54s	12m 53s	744.3%	453.5 MB	3.8 GB	151.7 GB	143.9 GB
39	4e/3d0a35	738440	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (NB2)	COMPLETED	0	2025-02-25 15:03:53.688	2m 38s	2m 37s	701.0%	27.5 GB	42.7 GB	11.9 GB	5.3 GB
40	dc/d0933e	755282	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (NB2)	COMPLETED	0	2025-02-25 15:06:31.502	7m 2s	7m 1s	106.5%	6.3 MB	14.2 MB	5.3 GB	5.2 GB
26	70/ef42dd	738422	NFCORE_METATDENOVO:METATDENOVO:FASTQC_TRIMGALORE:TRIMGALORE (KB1)	COMPLETED	0	2025-02-25 15:03:53.677	13m 9s	13m 9s	734.3%	455.7 MB	3.8 GB	154.9 GB	146.9 GB
41	c2/300bcb	781655	NFCORE_METATDENOVO:METATDENOVO:BBMAP_BBDUK (KB1)	COMPLETED	0	2025-02-25 15:17:02.765	1m 57s	1m 56s	739.2%	27.5 GB	42.7 GB	11.7 GB	4.9 GB
42	2c/f11166	784969	NFCORE_METATDENOVO:METATDENOVO:SEQTK_MERGEPE (KB1)	COMPLETED	0	2025-02-25 15:19:00.068	5m 57s	5m 56s	108.6%	6.2 MB	14.2 MB	4.9 GB	4.9 GB
43	dd/3bd455	791500	NFCORE_METATDENOVO:METATDENOVO:WRITESPADESYAML (spades.yaml)	COMPLETED	0	2025-02-25 15:24:57.094	2s	0ms	72.7%	2.6 MB	11 MB	40.7 KB	1.4 KB
44	3d/afa220	791854	NFCORE_METATDENOVO:METATDENOVO:SPADES (spades)	COMPLETED	0	2025-02-25 15:24:59.174	51m 22s	51m 21s	1258.8%	18 GB	26.5 GB	59.4 GB	148 GB
45	e0/ed4936	810969	NFCORE_METATDENOVO:METATDENOVO:FORMATSPADES (spades)	COMPLETED	0	2025-02-25 16:16:20.973	27s	26s	129.7%	8.9 MB	16.5 MB	478.4 MB	474.3 MB
