"database","sample","total.reads","n_trimmed","n_non_contaminated","n_mapped"
"metatdenovo","J7",58133534,64716938,13904698,7782971
"metatdenovo","J13",70957538,76361864,14985451,10526066
"metatdenovo","J18",66160090,72111904,10982168,9613398
"metatdenovo","J25",61382647,66736824,4065160,3000162
"metatdenovo","J29",63560382,69221322,6025743,4875289
"kimchi","J7",58133534,30535784,20198679,425552
"kimchi","J13",70957538,35269344,16650892,5332645
"kimchi","J18",66160090,33894898,10820351,8442826
"kimchi","J25",61382647,31437973,4250132,1768222
"kimchi","J29",63560382,32562239,5793508,3869480
