	transcript_name	classification_level	full_classification	classification	max_pid	ambiguous
0	HJHEFEJI_00002	class	Rhizaria; Cercozoa; Thecofilosea; Thecofilosea_X	Thecofilosea_X	118.2	0
0	HJHEFEJI_00004	division	Stramenopiles; Ochrophyta; Chrysophyceae	Chrysophyceae	102.8	0
0	HJHEFEJI_00006	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	92.8	0
0	HJHEFEJI_00010	order	Archaeplastida; Chlorophyta; Chloropicophyceae; Chloropicales; Chloropicaceae	Chloropicaceae	87.4	0
0	HJHEFEJI_00011	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	190.3	0
0	HJHEFEJI_00013	class	Rhizaria; Cercozoa; Chlorarachniophyceae; Chlorarachnida	Chlorarachnida	276.2	0
0	HJHEFEJI_00014	division	Opisthokonta; Choanoflagellida; Choanoflagellatea	Choanoflagellatea	96.3	0
0	HJHEFEJI_00019	class	Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellales	Mamiellales	124.4	0
0	HJHEFEJI_00023	class	Archaeplastida; Chlorophyta; Chlorodendrophyceae; Chlorodendrales	Chlorodendrales	95.5	0
0	HJHEFEJI_00026	order	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X; Raphidophyceae_XX	Raphidophyceae_XX	93.6	0
0	HJHEFEJI_00028	family	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X; Raphidophyceae_XX; Heterosigma	Heterosigma	156.0	0
0	HJHEFEJI_00029	order	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae	Polar-centric-Mediophyceae	288.1	0
0	HJHEFEJI_00035	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	111.7	0
0	HJHEFEJI_00036	class	Stramenopiles; Sagenista; Labyrinthulomycetes; Labyrinthulales	Labyrinthulales	157.1	0
0	HJHEFEJI_00038	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	101.3	0
0	HJHEFEJI_00043	class	Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellales	Mamiellales	244.6	0
0	HJHEFEJI_00047	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	104.4	0
0	HJHEFEJI_00048	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	66.2	0
0	HJHEFEJI_00049	class	Archaeplastida; Chlorophyta; Chloropicophyceae; Chloropicales	Chloropicales	94.4	0
0	HJHEFEJI_00052	order	Archaeplastida; Chlorophyta; Picocystophyceae; Picocystales; Picocystaceae	Picocystaceae	183.0	0
0	HJHEFEJI_00053	class	Amoebozoa; Conosa; Variosea; Variosea_X	Variosea_X	161.4	0
0	HJHEFEJI_00056	order	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae	Polar-centric-Mediophyceae	258.5	0
0	HJHEFEJI_00059	class	Alveolata; Ciliophora; Ciliophora_X; Ciliophora_XX	Ciliophora_XX	58.2	0
0	HJHEFEJI_00061	order	Archaeplastida; Chlorophyta; Picocystophyceae; Picocystales; Picocystaceae	Picocystaceae	137.9	0
0	HJHEFEJI_00065	class	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X	Raphidophyceae_X	135.2	0
0	HJHEFEJI_00068	class	Alveolata; Ciliophora; Colpodea; Colpodea_X	Colpodea_X	161.0	0
0	HJHEFEJI_00072	class	Archaeplastida; Chlorophyta; Chloropicophyceae; Chloropicales	Chloropicales	118.2	0
0	HJHEFEJI_00073	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	120.9	0
0	HJHEFEJI_00093	family	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Raphid-pennate; Pseudo-nitzschia	Pseudo-nitzschia	80.1	0
0	HJHEFEJI_00095	class	Rhizaria; Cercozoa; Chlorarachniophyceae; Chlorarachnida	Chlorarachnida	108.2	0
0	HJHEFEJI_00097	class	Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	70.9	1
0	HJHEFEJI_00105	class	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X	Raphidophyceae_X	138.7	0
0	HJHEFEJI_00106	class	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X	Chrysophyceae_X	72.4	0
0	HJHEFEJI_00111	class	Hacrobia; Cryptophyta; Cryptophyceae; Cryptomonadales	Cryptomonadales	95.1	0
0	HJHEFEJI_00118	division	Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	84.3	0
0	HJHEFEJI_00123	division	Archaeplastida; Chlorophyta; Mamiellophyceae	Mamiellophyceae	79.0	0
0	HJHEFEJI_00124	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	206.8	0
0	HJHEFEJI_00127	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	129.8	0
0	HJHEFEJI_00129	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	139.4	0
0	HJHEFEJI_00130	class	Alveolata; Ciliophora; Ciliophora_X; Ciliophora_XX	Ciliophora_XX	227.6	0
0	HJHEFEJI_00132	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	114.8	0
0	HJHEFEJI_00134	class	Alveolata; Ciliophora; Ciliophora_X; Ciliophora_XX	Ciliophora_XX	98.2	0
0	HJHEFEJI_00135	division	Amoebozoa; Conosa; Variosea	Variosea	105.1	0
0	HJHEFEJI_00144	division	Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	84.0	0
0	HJHEFEJI_00148	class	Archaeplastida; Chlorophyta; Trebouxiophyceae; Prasiolales	Prasiolales	208.8	0
0	HJHEFEJI_00154	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	115.2	0
0	HJHEFEJI_00156	division	Archaeplastida; Chlorophyta; Chlorodendrophyceae	Chlorodendrophyceae	128.6	0
0	HJHEFEJI_00157	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	464.2	0
0	HJHEFEJI_00159	class	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X	Chrysophyceae_X	161.4	0
0	HJHEFEJI_00161	family	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X; Raphidophyceae_XX; Heterosigma	Heterosigma	106.3	0
0	HJHEFEJI_00167	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	131.7	0
0	HJHEFEJI_00168	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	151.8	0
0	HJHEFEJI_00172	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	79.3	0
0	HJHEFEJI_00173	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	71.2	0
0	HJHEFEJI_00177	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	150.6	0
0	HJHEFEJI_00178	class	Alveolata; Dinoflagellata; Noctilucophyceae; Noctilucales	Noctilucales	132.1	0
0	HJHEFEJI_00179	division	Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	99.8	0
0	HJHEFEJI_00180	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	165.2	0
0	HJHEFEJI_00183	class	Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales	Gonyaulacales	213.8	0
0	HJHEFEJI_00186	class	Archaeplastida; Chlorophyta; Palmophyllophyceae; Prasinococcales	Prasinococcales	113.6	0
0	HJHEFEJI_00190	division	Archaeplastida; Chlorophyta; Chloropicophyceae	Chloropicophyceae	79.3	0
0	HJHEFEJI_00191	order	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae	Polar-centric-Mediophyceae	577.4	0
0	HJHEFEJI_00192	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	139.8	0
0	HJHEFEJI_00193	division	Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	114.4	0
0	HJHEFEJI_00194	division	Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	82.8	0
0	HJHEFEJI_00195	class	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X	Chrysophyceae_X	74.7	0
0	HJHEFEJI_00198	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	109.4	0
0	HJHEFEJI_00200	class	Archaeplastida; Glaucophyta; Glaucocystophyceae; Glaucocystophytes	Glaucocystophytes	429.1	0
0	HJHEFEJI_00203	order	Archaeplastida; Chlorophyta; Pyramimonadales; Pyramimonadales_X; Pyramimonadales_XX	Pyramimonadales_XX	96.7	0
0	HJHEFEJI_00206	class	Alveolata; Ciliophora; Litostomatea; Cyclotrichiida	Cyclotrichiida	82.4	0
0	HJHEFEJI_00207	class	Archaeplastida; Rhodophyta; Stylonematophyceae; Porphyridiales-2	Porphyridiales-2	196.4	0
0	HJHEFEJI_00208	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	119.4	0
0	HJHEFEJI_00213	division	Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	64.3	0
0	HJHEFEJI_00214	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	195.3	0
0	HJHEFEJI_00215	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	263.5	0
0	HJHEFEJI_00219	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	152.5	0
0	HJHEFEJI_00222	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	74.7	0
0	HJHEFEJI_00224	division	Archaeplastida; Chlorophyta	Chlorophyta	94.0	1
0	HJHEFEJI_00225	class	Amoebozoa; Lobosa; Lobosa_X; Trichosida	Trichosida	347.8	0
0	HJHEFEJI_00227	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	74.3	0
0	HJHEFEJI_00228	class	Rhizaria; Foraminifera; Globothalamea; Globothalamea_X	Globothalamea_X	179.5	0
0	HJHEFEJI_00229	order	Archaeplastida; Rhodophyta; Rhodellophyceae; Rhodellales; Rhodellales_X	Rhodellales_X	216.5	0
0	HJHEFEJI_00231	order	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae	Polar-centric-Mediophyceae	290.4	0
0	HJHEFEJI_00235	division	Hacrobia; Haptophyta; Pavlovophyceae	Pavlovophyceae	67.0	0
0	HJHEFEJI_00236	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	213.4	0
0	HJHEFEJI_00240	class	Rhizaria; Cercozoa; Chlorarachniophyceae; Chlorarachnida	Chlorarachnida	175.3	0
0	HJHEFEJI_00241	class	Alveolata; Ciliophora; Ciliophora_X; Ciliophora_XX	Ciliophora_XX	313.9	0
0	HJHEFEJI_00242	class	Archaeplastida; Chlorophyta; Chlorodendrophyceae; Chlorodendrales	Chlorodendrales	157.9	0
0	HJHEFEJI_00243	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	674.5	0
0	HJHEFEJI_00248	family	Archaeplastida; Rhodophyta; Compsopogonophyceae; Erythropeltidales; Erythropeltidales_X; Madagascaria	Madagascaria	86.7	0
0	HJHEFEJI_00252	division	Stramenopiles; Sagenista; Labyrinthulomycetes	Labyrinthulomycetes	142.1	0
0	HJHEFEJI_00253	order	Hacrobia; Cryptophyta; Cryptophyceae; Goniomonadales; Goniomonadales_X	Goniomonadales_X	517.7	0
0	HJHEFEJI_00265	class	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X	Raphidophyceae_X	116.3	0
0	HJHEFEJI_00267	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	292.0	0
0	HJHEFEJI_00268	class	Amoebozoa; Lobosa; Discosea-Flabellinia; Vannellida	Vannellida	168.3	0
0	HJHEFEJI_00269	class	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X	Chrysophyceae_X	206.5	0
0	HJHEFEJI_00271	class	Archaeplastida; Rhodophyta; Porphyridiophyceae; Porphyridiales	Porphyridiales	87.0	0
0	HJHEFEJI_00272	order	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X; Chrysophyceae_Clade-C	Chrysophyceae_Clade-C	172.6	0
0	HJHEFEJI_00273	class	Alveolata; Dinoflagellata; Dinophyceae; Suessiales	Suessiales	123.2	0
0	HJHEFEJI_00274	class	Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales	Gonyaulacales	273.5	0
0	HJHEFEJI_00276	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	60.1	0
0	HJHEFEJI_00277	class	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales	Chlamydomonadales	231.9	0
0	HJHEFEJI_00278	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	202.6	0
0	HJHEFEJI_00282	division	Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	157.1	0
0	HJHEFEJI_00283	division	Archaeplastida; Rhodophyta; Stylonematophyceae	Stylonematophyceae	72.4	0
0	HJHEFEJI_00284	class	Excavata; Discoba; Euglenozoa; Euglenida	Euglenida	419.1	0
0	HJHEFEJI_00291	class	Alveolata; Ciliophora; Spirotrichea; Hypotrichia	Hypotrichia	73.2	0
0	HJHEFEJI_00297	class	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X	Bacillariophyta_X	181.4	0
0	HJHEFEJI_00302	class	Alveolata; Apicomplexa; Colpodellidea; Vitrelladida	Vitrelladida	464.9	0
0	HJHEFEJI_00303	division	Stramenopiles; Ochrophyta; Chrysophyceae	Chrysophyceae	92.4	0
0	HJHEFEJI_00317	class	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X	Raphidophyceae_X	134.4	0
0	HJHEFEJI_00323	class	Stramenopiles; Ochrophyta; Chrysophyceae; Chrysophyceae_X	Chrysophyceae_X	65.5	0
0	HJHEFEJI_00324	class	Alveolata; Apicomplexa; Colpodellidea; Vitrelladida	Vitrelladida	193.4	0
0	HJHEFEJI_00327	division	Stramenopiles; Ochrophyta; Chrysophyceae	Chrysophyceae	77.4	0
0	HJHEFEJI_00328	class	Archaeplastida; Glaucophyta; Glaucocystophyceae; Glaucocystophytes	Glaucocystophytes	62.0	0
0	HJHEFEJI_00329	order	Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae	Polar-centric-Mediophyceae	153.7	0
0	HJHEFEJI_00330	order	Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales; Chlamydomonadales_X	Chlamydomonadales_X	144.4	0
0	HJHEFEJI_00331	class	Stramenopiles; Ochrophyta; Raphidophyceae; Raphidophyceae_X	Raphidophyceae_X	135.6	0
0	HJHEFEJI_00332	order	Hacrobia; Cryptophyta; Cryptophyceae; Cryptomonadales; Cryptomonadales_X	Cryptomonadales_X	177.9	0
0	HJHEFEJI_00334	class	Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellales	Mamiellales	170.2	0
0	HJHEFEJI_00336	class	Archaeplastida; Chlorophyta; Chloropicophyceae; Chloropicales	Chloropicales	121.3	0
