	transcript_name	classification_level	full_classification	classification	max_pid	ambiguous	counts
0	HJHEFEJI_00001	class	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales	Enterobacteriales	57.4	0	
0	HJHEFEJI_00002	order	Eukaryota; Archaeplastida; Streptophyta; Embryophyceae; Embryophyceae_X	Embryophyceae_X	193.7	0	
0	HJHEFEJI_00003	class	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales	Burkholderiales	60.8	0	
0	HJHEFEJI_00004	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc mesenteroides subsp. mesenteroides J18	Leuconostoc mesenteroides subsp. mesenteroides J18	476.9	0	
0	HJHEFEJI_00005	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus curvatus CRL 705	Lactobacillus curvatus CRL 705	163.3	0	
0	HJHEFEJI_00006	genus	Eukaryota; Archaeplastida; Streptophyta; Embryophyceae; Embryophyceae_X; Embryophyceae_XX; Populus trichocarpa	Populus trichocarpa	143.7	0	
0	HJHEFEJI_00007	order	Eukaryota; Archaeplastida; Streptophyta; Brassicales; Brassicaceae	Brassicaceae	172.6	0	
0	HJHEFEJI_00008	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc citreum KM20	Leuconostoc citreum KM20	293.5	0	
0	HJHEFEJI_00009	genus	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc carnosum JB16	Leuconostoc carnosum JB16	172.9	0	
0	HJHEFEJI_00010	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas	Xanthomonas	176.8	1	
0	HJHEFEJI_00011	species	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas; Xanthomonas campestris pv. campestris str. B100	Xanthomonas campestris pv. campestris str. B100	526.2	0	
0	HJHEFEJI_00013	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc citreum KM20	Leuconostoc citreum KM20	690.6	0	
0	HJHEFEJI_00014	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc gasicomitatum LMG 18811	Leuconostoc gasicomitatum LMG 18811	703.0	0	
0	HJHEFEJI_00016	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc citreum KM20	Leuconostoc citreum KM20	177.2	0	
0	HJHEFEJI_00019	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc carnosum JB16	Leuconostoc carnosum JB16	279.3	0	
0	HJHEFEJI_00021	class	Bacteria; Firmicutes; Bacilli; Lactobacillales	Lactobacillales	71.2	0	
0	HJHEFEJI_00022	class	Bacteria; Firmicutes; Bacilli; Lactobacillales	Lactobacillales	315.1	0	
0	HJHEFEJI_00023	genus	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	Leuconostoc	511.5	1	
0	HJHEFEJI_00024	genus	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	Leuconostoc	232.6	1	
0	HJHEFEJI_00025	genus	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus sakei subsp. sakei 23K	Lactobacillus sakei subsp. sakei 23K	158.3	0	
0	HJHEFEJI_00026	family	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas	Xanthomonas	152.1	0	
0	HJHEFEJI_00028	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Psychrobacter cryohalolentis K5	Psychrobacter cryohalolentis K5	245.4	0	
0	HJHEFEJI_00029	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc carnosum JB16	Leuconostoc carnosum JB16	523.9	0	
0	HJHEFEJI_00030	species	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc carnosum JB16	Leuconostoc carnosum JB16	57.4	0	
